"","X","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","Region"
"360",360,"Perciformes","Scombridae","Thunnus albacares","Yellowfin tuna","O","P","PP","4.4","NT","Y","G","1",26,"0",0,"PAC N"
"361",361,"Perciformes","Scombridae","Thunnus alalunga","Albacore","O","P","PP","4.3","NT","Y","G","?",31,"4",12.9,"MED"
"362",362,"Perciformes","Scombridae","Thunnus alalunga","Albacore","O","P","PP","4.3","NT","Y","GI","3",2,"0",0,"PAC N"
"363",363,"Perciformes","Scombridae","Thunnus maccoyi","Southern bluefin tuna","O","P","PP","3.9","CR","Y","n/a","1",1219,"12",0.98,"PAC S"
"364",364,"Perciformes","Scombridae","Thunnus obesus","Bigeye tuna","O","P","PP","4.5","VU","Y","G","1",35,"3",8.57,"PAC N"
"365",365,"Perciformes","Scombridae","Thunnus thynnus","Atlantic bluefin tuna","O","P","PP","4.5","EN","Y","G","?",34,"11",32.35,"MED"
"366",366,"Perciformes","Serranidae","Cephalopholis argus","Peacock hind","N","BP","BP","4.5","LC","Y","GI","3",4,"0",0,"IND"
"367",367,"Perciformes","Serranidae","Epinephelus areolatus","Areolate grouper","N","D","BP","3.7","LC","Y","GI","3",5,"1",20,"IND"
"368",368,"Perciformes","Serranidae","Epinephelus chlorostigma","Brownspotted grouper","N","D","BP","4","LC","Y","GI ","3",3,"1",33.33,"IND"
"369",369,"Perciformes","Serranidae","Epinephelus epistictus","Dotted grouper","N","D","BP","4","DD","N","GI","3",5,"1",20,"IND"
"370",370,"Perciformes","Serranidae","Epinephelus fasciatus","Blacktip grouper","N","D","BP","3.7","LC","Y","GI","1",17,"0",0,"PAC S"
"371",371,"Perciformes","Serranidae","Epinephelus itajara","Atlantic goliath grouper","N","D","BP","4.1","CR","Y","GI","2",2,"0",0,"ATL N"
"372",372,"Perciformes","Serranidae","Epinephelus radiatus","Oblique-banded grouper","N","D","BP","4","LC","N","GI","3",7,"1",14.29,"IND"
"373",373,"Perciformes","Serranidae","Mycteroperca sp.","Grouper ?","N","D","BP","4","LC","n/a","G ","2",1,"0",0,"ATL S"
"374",374,"Perciformes","Serranidae","Serranus cabrilla","Comber","N-O","D","BP","3.4","LC","Y","GI","3",6,"4",66.67,"MED"
"375",375,"Perciformes","Serranidae","Variola louti","Yellow-edged lyretail","N","BP","BP","4.3","NE","Y","GI","1",15,"3",20,"PAC S"
"376",376,"Perciformes","Siganidae","Siganus argenteus","Streamlined spinefoot","N","P","G","2","NE","Y","GI","3",2,"1",50,"IND"
"377",377,"Perciformes","Siganidae","Siganus canaliculatus","White-spotted spinefoot","N","P","G","2.8","NE","Y","GI","3",3,"1",33.33,"IND"
"378",378,"Perciformes","Siganidae","Siganus fuscescens","Mottled spinefoot","N","P","G","2.3","NE","Y","GI","3",2,"0",0,"IND"
"379",379,"Perciformes","Siganidae","Siganus luridus","Dusky spinefoot","N","D","G","2","NE","Y","GI","3",15,"13",86.67,"MED"
"380",380,"Perciformes","Siganidae","Siganus punctatus","Goldspotted spinefoot","N","D","G","2","NE","Y","GI","3",29,"4",13.79,"PAC S"
"381",381,"Perciformes","Sillaginidae","Sillaginodes punctatus","Spotted sillago","N","D","BP","3.3","NE","Y","G, GI","2",8,"0",0,"PAC S"
"382",382,"Perciformes","Sillaginidae","Sillago flindersi","Flinder's sillago","N","D","BP","3.3","NE","Y","G, GI","2",10,"0",0,"PAC S"
"383",383,"Perciformes","Sillaginidae","Sillago sihama","Silver silago","N","D","BP","3.3","NE","Y","GI","3",18,"18",100,"PAC N"
"384",384,"Perciformes","Sparidae","Acanthopagrus australis","Yellowfin bream","N","D","BP","3.1","LC","Y","GI","2",24,"6",25,"PAC S"
"385",385,"Perciformes","Sparidae","Boops boops","Bogue","N","B","O","2.8","NE","Y","G","2",32,"3",9.38,"ATL N"
"386",386,"Perciformes","Sparidae","Boops boops","Bogue","N","B","O","2.8","NE","Y","GI","2",337,"195",57.86,"MED"
"387",387,"Perciformes","Sparidae","Dentex dentex","Common dentex","N","BP","BP","4.5","VU","Y","GI","3",1,"0",0,"MED"
"388",388,"Perciformes","Sparidae","Dentex gibbosus","Pink dentex","N","BP","BP","4.1","LC","Y","GI","3",14,"4",28.57,"MED"
"389",389,"Perciformes","Sparidae","Dentex macrophthalmus","Large-eye dentex","N-O","BP","BP","3.5","NE","Y","G","2",1,"1",100,"ATL N"
"390",390,"Perciformes","Sparidae","Diplodus annularis","Pink dentex","N","BP","BP","3.6","LC","Y","GI","3",48,"33",68.75,"MED"
"391",391,"Perciformes","Sparidae","Diplodus vulgaris","2-banded seabream","N","BP","BP","3.5","LC","Y","GI","3",40,"29",72.5,"ATL N"
"392",392,"Perciformes","Sparidae","Lagodon rhomboides","Pinfish","N","D","BP","4.4","LC","Y","G ","2",449,"209",46.55,"ATL N"
"393",393,"Perciformes","Sparidae","Lithognathus mormyrus","Sand steenbras","N","D","BP","3.4","LC","Y","GI","3",46,"16",34.78,"MED"
"394",394,"Perciformes","Sparidae","Lithognathus mormyrus","Sand steenbras","N","D","BP","3.4","LC","Y","G","1",63,"0",0,"ATL N"
"395",395,"Perciformes","Sparidae","Pagellus acarne","Axillary seabream","N-O","B","BP","3.8","NE","Y","G","2",1,"1",100,"ATL N"
"396",396,"Perciformes","Sparidae","Pagellus acarne","Axillary seabream","N-O","B","BP","3.8","NE","Y","GI","3",52,"35",67.31,"MED"
"397",397,"Perciformes","Sparidae","Pagellus acarne","Axillary seabream","N-O","B","BP","3.8","NE","Y","G","1",1917,"0",0,"ATL N"
"398",398,"Perciformes","Sparidae","Pagellus bogaraveo","Blackspot seabream","N-O","D","BP","4.2","NE","Y","GI ","2",60,"1",1.67,"MED"
"399",399,"Perciformes","Sparidae","Pagellus bogaraveo","Blackspot seabream","N-O","D","BP","4.2","NE","Y","G","1",174,"0",0,"ATL N"
"400",400,"Perciformes","Sparidae","Pagellus erythrinus","Common pandora","N","BP","BP","3.5","LC","Y","GI","3",54,"28",51.85,"MED"
"401",401,"Perciformes","Sparidae","Pagellus erythrinus","Common pandora","N","BP","BP","3.5","LC","Y","GI","2",80,"2",2.5,"MED"
"402",402,"Perciformes","Sparidae","Pagellus erythrinus","Common pandora","N","BP","BP","3.5","LC","Y","GI ","3",49,"23",46.94,"MED"
"403",403,"Perciformes","Sparidae","Pagellus erythrinus","Common pandora","N","BP","BP","3.5","LC","Y","GI","3",19,"8",42.11,"MED"
"404",404,"Perciformes","Sparidae","Pagellus erythrinus","Common pandora","N","BP","BP","3.5","LC","Y","G","1",370,"0",0,"ATL N"
"405",405,"Perciformes","Sparidae","Pagrus auratus","Silver seabream","N","BP","BP","3.6","LC","Y","GI","3",22,"1",4.55,"PAC S"
"406",406,"Perciformes","Sparidae","Pagrus pagrus","Red porgy","N","BP","BP","3.9","LC","Y","GI","3",9,"7",77.78,"MED"
"407",407,"Perciformes","Sparidae","Sparus aurata","Gilthead seabream","N","D","BP","3.7","LC","Y","GI","3",110,"48",43.64,"MED"
"408",408,"Perciformes","Sparidae","Sparus aurata","Gilthead seabream","N","D","BP","3.7","LC","Y","GI","3",20,"20",100,"MED"
"409",409,"Perciformes","Sparidae","Spondyliosoma cantharus","Black seabream","N","BP","O","3.3","LC","Y","GI ","3",5,"5",100,"MED"
"410",410,"Perciformes","Sparidae","Spondyliosoma cantharus","Black seabream","N","BP","O","3.3","LC","Y","G","1",284,"0",0,"ATL N"
"411",411,"Perciformes","Sphyraenidae","Sphyraena forsteri","Bigeye barracuda","N-O","P","PP","4.4","NE","Y","GI","3",12,"2",16.67,"PAC S"
"412",412,"Perciformes","Sphyraenidae","Sphyraena genie","Blackfin barracuda","N-O","P","PP","4.5","NE","Y","GI","1",7,"1",14.29,"PAC S"
"413",413,"Perciformes","Sphyraenidae","Sphyraena guachancho","Guachanche barracuda","N","P","PP","4.4","NE","Y","G ","2",1,"0",0,"ATL S"
"414",414,"Perciformes","Stromateidae","Pampus argenteus","Silver pomfret","N","BP","P","3.3","NE","Y","GI","3",18,"18",100,"PAC N"
"415",415,"Perciformes","Stromateidae","Peprilus paru","American harvestfish","N","BP","??","4.5??","LC","Y","GI","2",2,"0",0,"ATL N"
"416",416,"Perciformes","Teraponidae","Pelates quadrilineatus","Fourlined terapon","N","D","BP","3.6","NE","Y","GI","3",135,"88",65.19,"MED"
"417",417,"Perciformes","Teraponidae","Terapon jarbua","Jarbua terapon","N","D","O","3.9","LC","Y","GI","3",18,"18",100,"PAC N"
"418",418,"Perciformes","Trichiuridae","Aphanopus carbo","Black scabbardfish","O","P","PP","4.5","NE","Y","GI","2",5,"0",0,"ATL N"
"419",419,"Perciformes","Trichiuridae","Aphanopus carbo","Black scabbardfish","O","P","PP","4.5","NE","Y","G","1",11,"0",0,"ATL N"
"420",420,"Perciformes","Trichiuridae","Lepidopus caudatus","Silver Scabbardfish","N-O","BP","PP","3.8","NE","Y","GI","2",1,"0",0,"MED"
"421",421,"Perciformes","Trichiuridae","Trichiurus lepturus","Largehead hairtail","N","BP","PP","4.4","NE","Y","G","1",149,"1",0.67,"ATL S"
"422",422,"Perciformes","Trichiuridae","Trichiurus lepturus","Largehead hairtail","N","BP","PP","4.4","NE","Y","G","2",1,"0",0,"ATL N"
"423",423,"Perciformes","Trichiuridae","Trichiurus lepturus","Largehead hairtail","N","BP","PP","4.4","NE","Y","GI","2",5,"1",20,"ATL N"
"424",424,"Perciformes","Tripterygiidae","Helcogrammoides chilensis","n/a","N","D","BP","3.3","LC","N","GI","3",3,"3",100,"PAC S"
"425",425,"Perciformes","Uranoscopidae","Uranoscopus scaber","Stargazer","N-O","D","BP","4.4","LC","Y","GI","3",9,"7",77.78,"MED"
"426",426,"Perciformes","Xiphiidae","Xiphias gladius","Swordfish","O","P","PP","4.5","LC","Y","G","?",56,"7",12.5,"MED"
"427",427,"Perciformes","Xiphiidae","Xiphias gladius","Swordfish","O","P","PP","4.5","LC","Y","G","1",31,"1",3.23,"PAC N"
"428",428,"Perciformes","Xiphiidae","Xiphias gladius","Swordfish","O","P","PP","4.5","LC","Y","GI ","2",1,"0",0,"MED"
"429",429,"Perciformes","Zoarcidae","Zoarces viviparus","Eelpout","N","D","BP","3.5","NE","Y","GI","3",150,"0",0,"ATL N"
"430",430,"Pleuronectiformes ","Citharidae","Citharus linguatula","Spotted flounder","N","B","BP","4","LC","Y","GI ","2",52,"1",1.92,"MED"
"431",431,"Pleuronectiformes ","Cynoglossidae","Cynoglossus abbreviatus","3-lined tongue sole","N","D","BP","3.5","NE","Y","GI","3",18,"18",100,"PAC N"
"432",432,"Pleuronectiformes ","Paralichthyidae","Citharichthys sordidus","Pacific sanddab","N-O","B","BP","3.5","NE","y","GI","3",5,"3",60,"PAC N"
"433",433,"Pleuronectiformes ","Paralichthyidae","Paralichthys brasiliensis","Brazilian flounder","N","B","BP","4.2","NE","y","G ","2",1,"0",0,"ATL S"
"434",434,"Pleuronectiformes ","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut","O","B","BP","4","EN","Y","GI","2",14,"0",0,"ATL N"
"435",435,"Pleuronectiformes ","Pleuronectidae","Limanda limanda","Common dab","N","B","BP","3.4","LC","Y","GI ","2",89,"4",4.49,"ATL N"
"436",436,"Pleuronectiformes ","Pleuronectidae","Limanda limanda","Common dab","N","B","BP","3.4","LC","Y","GI","3",100,"0",0,"ATL N"
"437",437,"Pleuronectiformes ","Pleuronectidae","Limanda limanda","Common dab","N","B","BP","3.4","LC","Y","GI","2",19,"9",47.37,"ATL N"
"438",438,"Pleuronectiformes ","Pleuronectidae","Pleuronectes platessa","European plaice","N","B","BP","3.2","LC","Y","GI","2",62,"28",45.16,"ATL N"
"439",439,"Pleuronectiformes ","Pleuronectidae","Pseudopleuronectes americanus  ","Winter flounder","N","B","BP","3.6","NE","Y","n/a","2",95,"2",2.11,"ATL N"
"440",440,"Pleuronectiformes ","Pleuronectidae","Platichthys flesus","European flounder","N","B","BP","3.3","LC","Y","GI","2",66,"56",84.85,"ATL N"
"441",441,"Pleuronectiformes ","Pleuronectidae","Platichthys flesus","European flounder","N","B","BP","3.3","LC","Y","GI","2",36,"2",5.56,"ATL N"
"442",442,"Pleuronectiformes ","Pleuronectidae","Platichthys flesus","European flounder","N","B","BP","3.3","LC","Y","GI"," ",1090,"133",12.2,"ATL N"
"443",443,"Pleuronectiformes ","Pleuronectidae","Platichthys flesus","European flounder","N","B","BP","3.3","LC","Y","GI","3",40,"5",12.5,"ATL N"
"444",444,"Pleuronectiformes ","Pleuronectidae","Platichthys flesus","European flounder","N","B","BP","3.3","LC","Y","GI","2",47,"24",51.06,"ATL N"
"445",445,"Pleuronectiformes ","Scophthalmidae","Lepidorhombus boscii","Four-spot megrim","N-O","B","BP","3.7","NE","Y","G","2",2,"1",50,"ATL N"
"446",446,"Pleuronectiformes ","Scophthalmidae","Lepidorhombus boscii","Four-spot megrim","N-O","B","BP","3.7","NE","Y","G","1",25914,"0",0,"ATL N"
"447",447,"Pleuronectiformes ","Scophthalmidae","Lepidorhombus whiffiagonis","Megrim","N-O","B","BP","4.3","NE","Y","GI","2",10,"1",10,"ATL N"
"448",448,"Pleuronectiformes ","Scophthalmidae","Lepidorhombus whiffiagonis","Megrim","N-O","B","BP","4.3","NE","Y","G","2",2,"0",0,"ATL N"
"449",449,"Pleuronectiformes ","Scophthalmidae","Lepidorhombus whiffiagonis","Megrim","N-O","B","BP","4.3","NE","Y","G","1",6753,"0",0,"ATL N"
"450",450,"Pleuronectiformes ","Soleidae","Buglossidium luteum","Solenette","N-O","B","BP","3.3","LC","Y","GI","2",50,"13",26,"ATL N"
"451",451,"Pleuronectiformes ","Soleidae","Microchirus variegatus","Thickback sole","N-O","B","BP","3.3","NE ","Y","GI","2",51,"12",23.53,"ATL N"
"452",452,"Pleuronectiformes ","Soleidae","Solea solea","Common sole","N","B","BP","3.2","NE ","Y","GI","3",533,"506",94.93,"MED"
"453",453,"Pleuronectiformes ","Soleidae","Solea solea","Common sole","N","B","BP","3.2","NE ","Y","G","2",1,"0",0,"ATL N"
"454",454,"Pleuronectiformes ","Soleidae","Solea solea","Common sole","N","B","BP","3.2","NE ","Y","GI","2",88,"2",2.27,"MED"
"455",455,"Pleuronectiformes ","Soleidae","Solea solea","Common sole","N","B","BP","3.2","NE ","Y","GI ","3",20,"13",65,"MED"
"456",456,"Salmoniformes","Salmonidae","Oncorhynchus tshawytscha","Chinook salmon","N","BP","PP","4.4","NE","Y","GI","3",4,"1",25,"PAC N"
"457",457,"Salmoniformes","Salmonidae","Salmo trutta","Sea trout","N","P","BP","3.4","LC","Y","GI","3",62,"42",67.74,"ATL N"
"458",458,"Scorpaeniformes ","Cottidae","Myoxocephalus aenaeus  ","Grubby","N-O","B","BP","3.7","NE ","N","n/a","3",47,"2",4.26,"ATL N"
"459",459,"Scorpaeniformes ","Cottidae","Triglops nybelini","Bigeye sculpin","N-O","B","BP","3.3","NE","N","GI","3",71,"24",33.8,"ATL N"
"460",460,"Scorpaeniformes ","Hexagrammidae","Ophiodon elongatus","Lingcod","N-O","D","BP","4.3","NE","Y","GI","3",11,"1",9.09,"PAC N"
"461",461,"Scorpaeniformes ","Liparidae","Liparis liparis","Striped seasnail","N","B","BP","3.6","LC","Y","GI"," ",220,"16",7.27,"ATL N"
"462",462,"Scorpaeniformes ","Platycephalidae","Platycephalus bassensis","Sand flathead","N","B","BP","4.3","NE","Y","G, GI","2",10,"0",0,"PAC S"
"463",463,"Scorpaeniformes ","Platycephalidae","Platycephalus laevigatus","Black flathead","N","D","BP","3.8","NE","N","G, GI","2",7,"0",0,"PAC S"
"464",464,"Scorpaeniformes ","Scorpaenidae","Scorpaena elongata","Slender rockfish","N-O","D","BP","3.9","NE","Y","GI","2",1,"0",0,"MED"
"465",465,"Scorpaeniformes ","Scorpaenidae","Scorpaena jacksoniensis","n/a","N","D","BP","3.9","NE","N","G, GI","2",19,"0",0,"PAC S"
"466",466,"Scorpaeniformes ","Scorpaenidae","Scorpaena loppei","Cadenat's rockfish","N","D","BP","3.5","LC","N","G","1",104,"0",0,"ATL N"
"467",467,"Scorpaeniformes ","Scorpaenidae","Scorpaena scrofa","Red scorpionfish","N-O","D","BP","4.3","LC","Y","G","1",51,"0",0,"ATL N"
"468",468,"Scorpaeniformes ","Scorpaenidae","Scorpaena sp.","n/a","N-O","D","BP","4.3","LC","n/a","GI","3",19,"16",84.21,"MED"
"469",469,"Scorpaeniformes ","Sebastidae","Helicolenus dactylopterus","Blackbelly rosefish","N-O","D","BP","3.5","NE","Y","GI ","2",380,"0",0,"MED"
"470",470,"Scorpaeniformes ","Sebastidae","Helicolenus dactylopterus","Blackbelly rosefish","N-O","D","BP","3.5","NE","Y","G","2",1,"0",0,"ATL N"
"471",471,"Scorpaeniformes ","Sebastidae","Helicolenus dactylopterus","Blackbelly rosefish","N-O","D","BP","3.5","NE","Y","G","1",3618,"0",0,"ATL N"
"472",472,"Scorpaeniformes ","Sebastidae","Sebastes caurinus","Copper rockfish","N","D","BP","4.1","NE","Y","GI","3",1,"0",0,"PAC N"
"473",473,"Scorpaeniformes ","Sebastidae","Sebastes flavidus","Yellowtail rockfish","N-O","BP","PP","4.2","NE","Y","GI","3",3,"1",33.33,"PAC N"
"474",474,"Scorpaeniformes ","Sebastidae","Sebastes miniatus","Vermilion rockfish","N","D","BP","3.9","NE","Y","GI","3",3,"0",0,"PAC N"
"475",475,"Scorpaeniformes ","Sebastidae","Sebastes mystinus","Blue rockfish","N-O","BP","P","2.7","NE","Y","GI","3",10,"2",20,"PAC N"
"476",476,"Scorpaeniformes ","Sebastidae","Sebastiscus marmoratus","False kelpfish","N","B","BP","3.7","NE","Y","GI","3",18,"18",100,"PAC N"
"477",477,"Scorpaeniformes ","Sebastidae","Trachyscorpia cristulata","Atlantic thornyhead","N-O","D","BP","3.9","LC","Y","G","1",49,"0",0,"ATL N"
"478",478,"Scorpaeniformes ","Triglidae","Chelidonichthys cuculus","Red gurnard","N","B","BP","3.8","NE","Y","GI","2",66,"34",51.52,"ATL N"
"479",479,"Scorpaeniformes ","Triglidae","Chelidonichthys cuculus","Red gurnard","N","B","BP","3.8","NE","Y","G","1",3503,"1",0.03,"ATL N"
"480",480,"Scorpaeniformes ","Triglidae","Chelidonichthys kumu","Bluefin gurnard","N","B","BP","3.7","LC","Y","GI","3",27,"1",3.7,"PAC S"
"481",481,"Scorpaeniformes ","Triglidae","Chelidonichthys lucerna","Tub gurnard","N","B","BP","4","NE","Y","GI ","3",3,"2",66.67,"MED"
"482",482,"Scorpaeniformes ","Triglidae","Chelidonichthys lucerna","Tub gurnard","N","B","BP","4","NE","Y","GI","3",24,"9",37.5,"MED"
"483",483,"Scorpaeniformes ","Triglidae","Chelidonichthys lucerna","Tub gurnard","N","B","BP","4","NE","Y","GI","2",1,"0",0,"MED"
"484",484,"Scorpaeniformes ","Triglidae","Chelidonichthys lucerna","Tub gurnard","N","B","BP","4","NE","Y","G","1",1019,"0",0,"ATL N"
"485",485,"Scorpaeniformes ","Triglidae","Chelidonichthys obscurus","Longfin gurnard","N","B","BP","3.7","LC","Y","G","1",412,"0",0,"ATL N"
"486",486,"Scorpaeniformes ","Triglidae","Eutrigla gurnardus","Grey gurnard","N","B","BP","3.9","NE","Y","GI","3",171,"0",0,"ATL N"
"487",487,"Scorpaeniformes ","Triglidae","Eutrigla gurnardus","Grey gurnard","N","B","BP","3.9","NE","Y","G","1",2853,"0",0,"ATL N"
"488",488,"Scorpaeniformes ","Triglidae","Prionotus evolans","Striped searobin","N","B","BP","4.3","LC","Y","n/a","1",1,"1",100,"ATL N"
"489",489,"Scorpaeniformes ","Triglidae","Trigla lyra","Piper","N","B","BP","3.7","NE","Y","G","2",31,"6",19.35,"ATL N"
"490",490,"Scorpaeniformes ","Triglidae","Trigla lyra","Piper","N","B","BP","3.7","NE","Y","G","1",1488,"0",0,"ATL N"
"491",491,"Siluriformes","Ariidae","Bagre bagre","Coco sea catfish","N","B","BP","4","LC","Y","GI","2",7,"5",71.43,"ATL N"
"492",492,"Siluriformes","Ariidae","Bagre marinus","Gafftopsail sea catfish","N","B","BP","3.5","LC","Y","GI","2",4,"4",100,"ATL N"
"493",493,"Siluriformes","Ariidae","Cathorops agassizii","n/a","N","B","BP","4.3","NE","N","G","2",60,"20",33.33,"ATL S"
"494",494,"Siluriformes","Ariidae","Cathorops spixii","Madamango sea catfish","N","D","BP","3.5","NE","Y","G","2",60,"11",18.33,"ATL S"
"495",495,"Siluriformes","Ariidae","Notarius grandicassis","Thomas sea catfish","N","B","BP","4","LC","Y","GI","2",4,"0",0,"ATL N"
"496",496,"Siluriformes","Ariidae","Sciades herzbergii","Pemecou sea catfish","N","D","BP","3.3","NE","Y","G","2",62,"11",17.74,"ATL S"
"497",497,"Stomiiformes","Gonostomatidae","Cyclothone acclinidens","Benttooth bristlemouth","O","P","P","3.6","NE","N","G","2",4,"0",0,"PAC N"
"498",498,"Stomiiformes","Gonostomatidae","Cyclothone atraria","Deep-water bristlemouth","O","P","P","3.1","NE","N","G","2",3,"0",0,"PAC N"
"499",499,"Stomiiformes","Gonostomatidae","Cyclothone pallida","Tan bristlemouth","O","P","P","3.2","NE","N","G","2",5,"0",0,"PAC N"
"500",500,"Stomiiformes","Gonostomatidae","Cyclothone pseudopallida","Slender bristlemouth","O","P","P","3.1","NE","N","G","2",4,"0",0,"PAC N"
"501",501,"Stomiiformes","Gonostomatidae","Gonostoma denudatum","n/a","O","P","P","3.3","LC","N","G ","3",5,"5",100,"ATL N"
"502",502,"Stomiiformes","Phosichthyidae","Vinciguerria mabahiss","n/a","O","P","P","3.1","NE","N","GI ","3",10,"0",0,"IND"
"503",503,"Stomiiformes","Sternoptychidae","Argyropelecus ssp.","n/a","O","P","n/a","3.1","NE","n/a","GI","3",5,"0",0,"ATL N"
"504",504,"Stomiiformes","Sternoptychidae","Argyropelecus affinis","Pacififc hatchet fish","O","P","P","3.1","NE","N","G","2",1,"0",0,"PAC N"
"505",505,"Stomiiformes","Sternoptychidae","Argyropelecus hemigymnus","Half-naked hatchet fish","O","P","P","3.1","LC","N","G","2",3,"0",0,"PAC N"
"506",506,"Stomiiformes","Sternoptychidae","Danaphos oculatus","Bottlelights","O","P","P","3","NE","Y","G","2",9,"0",0,"PAC N"
"507",507,"Stomiiformes","Sternoptychidae","Maurolicus muelleri","Silvery lightfish","O","P","P","3","NE","Y","GI","3",282,"8",2.84,"ATL N"
"508",508,"Stomiiformes","Sternoptychidae","Maurolicus mucronatus","n/a","O","P","P","3.1","NE","N","GI","3",10,"1",10,"IND"
"509",509,"Stomiiformes","Sternoptychidae","Sternoptyx diaphana","Bottlelights","O","P","P","3.4","NE","N","G","2",4,"1",25,"PAC N"
"510",510,"Stomiiformes","Sternoptychidae","Sternoptyx pseudobscura","Highlight hatchet fish","O","P","P","3.4","NE","N","G","2",6,"1",16.67,"PAC N"
"511",511,"Stomiiformes","Stomiidae","Idiacanthus antrostomus","Pacific blackdragon","O","P","PP","3.8","NE","N","G","2",4,"1",25,"PAC N"
"512",512,"Stomiiformes","Stomiidae","Stomias boa  ","Boa dragonfish","O","P","PP","4","NE","N","GI","3",5,"2",40,"ATL N"
"513",513,"Stomiiformes","Stomiidae","Stomias boa  ","Boa dragonfish","O","P","PP","4","NE","N","G ","3",9,"6",66.67,"ATL N"
"514",514,"Tetraodontiformes","Monacanthidae","Meuschenia scaber","Velvet leatherjacket","N","BP","G","3.1","NE","Y","GI","3",19,"7",36.84,"PAC S"
"515",515,"Tetraodontiformes","Monacanthidae","Thamnaconus septentrionalis","n/a","N","D","O","3.4","NE","Y","GI","3",18,"18",100,"PAC N"
"516",516,"Tetraodontiformes","Tetraodontidae","Thamnaconus septentrionalis","n/a","N","D","O","3.4","NE","Y","GI","2",2,"0",0,"ATL N"
"517",517,"Tetraodontiformes","Tetraodontidae","Lagocephalus laevigatus","Smooth puffer","N-O","P","BP","4","NE","Y","G ","2",1,"0",0,"ATL S"
"518",518,"Tetraodontiformes","Tetraodontidae","Lagocephalus spadiceus","Half-smooth gold puffie","N","D","BP","3.7","LC","N","GI","3",1,"0",0,"MED"
"519",519,"Zeiformes","Zeidae","Zeus faber","John dory","N","BP","BP","4.5","NE","Y","GI","2",42,"20",47.62,"ATL N"
"520",520,"Zeiformes","Zeidae","Zeus faber","John dory","N","BP","BP","4.5","NE","Y","G","2",1,"1",100,"ATL N"
"521",521,"Zeiformes","Zeidae","Zeus faber","John dory","N","BP","BP","4.5","NE","Y","G","1",1346,"0",0,"ATL N"
"522",522,"Carcharhiniformes","Carcharhinidae","Carcharhinus amboinensis","Pigeye shark","N","BP","PP","4.3","DD","Y","G","1",222,"0",0,"IND"
"523",523,"Carcharhiniformes","Carcharhinidae","Carcharhinus brachyurus","Bronze whaler","N-O","BP","PP","4.5","NT","Y","G","1",1404,"1",0.07,"IND"
"524",524,"Carcharhiniformes","Carcharhinidae","Carcharhinus brevipinna","Spinner shark","N-O","P","PP","4.2","NT","Y","G","1",1699,"0",0,"IND"
"525",525,"Carcharhiniformes","Carcharhinidae","Carcharhinus leucas","Bull shark","N","BP","PP","4.3","NT","Y","G","1",661,"4",0.61,"IND"
"526",526,"Carcharhiniformes","Carcharhinidae","Carcharhinus limbatus","Blacktip shark","N","BP","PP","4.4","NT","Y","G","1",1785,"4",0.22,"IND"
"527",527,"Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","Dusky shark","N","BP","PP","4.3","VU","Y","G","1",2741,"4",0.15,"IND"
"528",528,"Carcharhiniformes","Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","N-O","BP","PP","4.5","VU","Y","G","1",379,"0",0,"IND"
"529",529,"Carcharhiniformes","Carcharhinidae","Galeocerdo cuvier","Tiger shark","N-O","BP","PP","4.5","NT","Y","G","1",505,"38",7.52,"IND"
"530",530,"Carcharhiniformes","Carcharhinidae","Prionace glauca","Blue shark","O","P","PP","4.4","NT","N","G","2",95,"24",25.26,"MED"
"531",531,"Carcharhiniformes","Carcharhinidae","Rhizoprionodon lalandii","Brazilian sharpnose shark","N","D","PP","4.3","DD","Y","G ","2",6,"2",33.33,"ATL S"
"532",532,"Carcharhiniformes","Triakidae","Mustelus canis","Dusky smooth-hound","N-O","D","BP","3.6","NT","Y","GI","2",2,"0",0,"ATL N"
"533",533,"Carcharhiniformes","Triakidae","Mustelus higmani","Smalleye smooth-hound","N-O","D","BP","3.6","LC","Y","GI","2",3,"0",0,"ATL N"
"534",534,"Carcharhiniformes","Scyliorhinidae","Galeus melastomus   ","Blackmouth catshark","N-O","D","BP","4.2","LC","Y","G","2",125,"21",16.8,"MED"
"535",535,"Carcharhiniformes","Scyliorhinidae","Galeus melastomus   ","Blackmouth catshark","N-O","D","BP","4.2","LC","Y","GI","2",741,"24",3.24,"MED"
"536",536,"Carcharhiniformes","Scyliorhinidae","Galeus spp. ","Blackmouth catshark","N-O","D","BP","4.2","LC","Y","G","1",2962,"3",0.1,"ATL N"
"537",537,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O","D","BP","3.8","LC","Y","G","2",20,"4",20,"ATL N"
"538",538,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O","D","BP","3.8","LC","Y","G","3",72,"11",15.28,"ATL N"
"539",539,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O","D","BP","3.8","LC","Y","GI","1",20,"3",15,"ATL N"
"540",540,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O","D","BP","3.8","LC","Y","GI ","2",1,"0",0,"MED"
