"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"98","Myctophiformes","Myctophidae","Nannobrachium regale","Pinpoint lampfish","O","P","P",3.2,"NE","N","G","2","1","0",0,0
"99","Myctophiformes","Myctophidae","Notolychnus valdiviae","Topside lampfish","O","P","P",3.1,"NE","Y","G","2","3","0",0,0
"100","Myctophiformes","Myctophidae","Notoscopelus kroyeri","Lancet fish","O","P","P",3.2,"NE","N","GI","3","417","60",14.39,1
"101","Myctophiformes","Myctophidae","Notoscopelus resplendens","Patchwork lampfish","O","P","P",3,"NE","Y","G","2","3","0",0,0
"102","Myctophiformes","Myctophidae","Symbolophorus evermanni","Evermann's lanternfish","O","P","P",3.4,"NE","N","n/a","1","14","1",7.14,1
"103","Myctophiformes","Myctophidae","Taaningichthys bathyphilus","Deepwater lanternfish","O","P","P",3.1,"NE","Y","G","2","3","0",0,0
"104","Ophidiiformes","Bythidiae","Cataetyx laticeps","n/a","O",NA,"BP",3.8,"NE","N","G, GI, I","1","10","1",10,1
"105","Osmeriformes","Alepocephalidae","Alepocephalus rostratus","Risso's smooth-head","O",NA,"BP",3.7,"NE","N","G, GI, I","1","158","0",0,0
"106","Osmeriformes","Alepocephalidae","Xenodermichthys copei","Bluntsnout smooth-head","O","P","P",3.2,"NE","N","GI","3","5","3",60,1
"107","Osmeriformes","Argentinidae","Argentina silus","Greater argentine","O","P","P",3.3,"NE","Y","GI","2","15","1",6.67,1
"108","Osmeriformes","Osmeridae","Osmerus eperlanus","European smelt","N","BP","P",3.5,"LC","Y","GI","2","10","2",20,1
"109","Perciformes","Acanthuridae","Acanthurus coeruleus","Blue tang surgeonfish","N","B","G",2,"LC","Y","G ","2","1","0",0,0
"110","Perciformes","Acanthuridae","Acanthurus gahhm","Black surgeonfish","N","B","O",2.8,"LC","Y","GI ","3","10","1",10,1
