order,family,species,common_name,habitat,feeding_strategy,trophic_level,IUCN,fisheries_interest,G/GI,method,N,n_fish_ingested,FO
Mugiliformes,Mugilidae,Chelon auratus,Golden grey mullet,"N, BP",O,2.8,LC,Y,GI,3,39,17,43.59
Mugiliformes,Mugilidae,,,,,,,,GI ,3,20,19,95.00
Mugiliformes,Mugilidae,Ellochelon vaigiensis,Squaretail mullet,"N, BP",O,2.2,LC,Y,GI,3,33,16,48.48
Mugiliformes,Mugilidae,Liza haematocheila,So-iuy mullet,"N, BP",O,2.5,NE,Y,GI,3,18,18,100.00
Mugiliformes,Mugilidae,Mugil cephalus,Flat-head grey mullet,"N, BP",O,2.5,LC,Y,GI,2,70,51,72.86
Mugiliformes,Mugilidae,,,,,,,,GI,3,18,18,100.00
Mugiliformes,Mugilidae,,,,,,,,GI,3,22,3,13.64
Mugiliformes,Mugilidae,,,,,,,,GI,2,45,29,64.44
Mugiliformes,Mugilidae,,,,,,,,"G, GI",2,43,0,0.00
Mugiliformes,Mugilidae,,,,,,,,GI,3,30,18,60.00
Mugiliformes,Mugilidae,Mugil curema,White mullet,"N, BP",O,2,LC,Y,GI,2,186,,yes
Mugiliformes,Mugilidae,Mugil curvidens,Dwarf mullet,"N, BP",D,2,NE,N,GI,2,9,,no
Mugiliformes,Mugilidae,Mugil hospes,Hospe mullet,"N, BP",P,n/a,LC,Y,GI,2,28,,no
Mugiliformes,Mugilidae,Mugil incilis,Parassi mullet,"N, BP",D,2,LC,Y,GI,2,5,,no
Mugiliformes,Mugilidae,Mugil liza,Lebranche mullet,"N, BP",D,2,DD,Y,GI,2,2,,no
Myctophiformes,Myctophidae,Benthosema glaciale,Glacier lanternfish,"O, P",P,3,NE,N,GI,3,27,6,22.22
Myctophiformes,Myctophidae,,,,,,,,G ,3,69,47,68.12
Myctophiformes,Myctophidae,Benthosema pterotum,Skinnycheek lanternfish,"O, P",P,3.1,LC,N,GI,3,10,1,10.00
Myctophiformes,Myctophidae,Bolinichthys longipes,Popeye lampfish,"O, P",P,3.1,NE,N,G,2,3,0,0.00
Myctophiformes,Myctophidae,Centrobranchus andreae,Andre's lanternfish,"O, P",P,3.4,NE,N,n/a,1,5,2,40.00
Myctophiformes,Myctophidae,Ceratoscopelus warmingii,Warming's lanternfish,"O, P",P,3.4,NE,Y,G,2,8,0,0.00
Myctophiformes,Myctophidae,Diaphus anderseni,Andersen's lanternfish,"O, P",P,3.1,NE,N,G,2,13,2,15.38
Myctophiformes,Myctophidae,Diaphus fulgens,n/a,"O, P",P,3.1,NE,N,G,2,7,2,28.57
Myctophiformes,Myctophidae,Diaphus metopoclampus,Spothead lanternfish,"O, P",P,3.3,LC,N,G,?,296,1,0.34
Myctophiformes,Myctophidae,Diaphus phillipsi,Bolin's lanternfish,"O, P",P,3.1,NE,N,G,2,1,1,100.00
Myctophiformes,Myctophidae,Diaphus rafinesquii,White-spotted lanternfish,"O, P",P,3.4,LC,N,G ,3,34,24,70.59
Myctophiformes,Myctophidae,Diogenichthys atlanticus,Longfin lanternfish,"O, P",P,3.1,NE,Y,G,2,5,0,0.00
Myctophiformes,Myctophidae,Electrona risso,Electric lanternfish,"O, P",P,3.4,LC,N,G,?,82,5,6.10
Myctophiformes,Myctophidae,Gymnoscopelus nicholsi,Nichol's lanternfish,"N-O, P",P,3.4,NE,Y,"G, GI",2,39,0,0.00
Myctophiformes,Myctophidae,Hygophum benoiti,Benoit's lanternfish,"O, P",P,3,LC,N,G,?,73,5,6.85
Myctophiformes,Myctophidae,Hygophum proximum,Firefly lanternfish,"O, P",P,3.2,LC,N,G,2,2,0,0.00
Myctophiformes,Myctophidae,Hygophum reinhardtii,Reinhardt's lanternfish,"O, P",P,3.2,NE,Y,G,2,47,,yes
Myctophiformes,Myctophidae,,,,,,,,G,2,2,0,0.00
Myctophiformes,Myctophidae,Lampadena urophaos,Sunbeam lampfish,"O, P",P,3.2,NE,Y,G,2,1,0,0.00
Myctophiformes,Myctophidae,Lampanyctus crocodilus,Jewel lanternfish,"O, P",P,3.2,NE,N,GI,3,2,0,0.00
Myctophiformes,Myctophidae,Lampanyctus macdonaldi,Rakery beaconlamp,"O, P",P,3.1,LC,N,G ,3,16,12,75.00
Myctophiformes,Myctophidae,Lobianchia gemellarii,Cocco's lanternfish,"O, P",P,3,NE,Y,G,2,3,1,33.33
Myctophiformes,Myctophidae,Loweina interrupta,n/a,"O, P",P,3.2,NE,Y,G,2,27,,yes
Myctophiformes,Myctophidae,Myctophum aurolaternatum,Golden lanternfish,"O, P",P,3.5,NE,N,G,2,462,,yes
Myctophiformes,Myctophidae,Mychtophum lychnobium,n/a,"O, P",P,3.2,LC,N,n/a,1,17,7,41.18
Myctophiformes,Myctophidae,Myctophum nitidulum,Pearly lanternfish,"O, P",P,3.4,NE,Y,G,2,25,4,16.00
Myctophiformes,Myctophidae,Myctophum punctatum,Spotted lanternfish,"O, P",P,3.4,NE,N,G,?,71,3,4.23
Myctophiformes,Myctophidae,,,"O, P",,,,,G ,3,86,64,74.42
Myctophiformes,Myctophidae,,,,,,,,GI,3,3,0,0.00
Myctophiformes,Myctophidae,Nannobrachium fernae,n/a,"O, P",P,3.1,NE,N,G,2,1,0,0.00
Myctophiformes,Myctophidae,Nannobrachium hawaiiensis,n/a,"O, P",P,3.1,NE,N,G,2,17,0,0.00
Myctophiformes,Myctophidae,Nannobrachium regale,Pinpoint lampfish,"O, P",P,3.2,NE,N,G,2,1,0,0.00
Myctophiformes,Myctophidae,Notolychnus valdiviae,Topside lampfish,"O, P",P,3.1,NE,Y,G,2,3,0,0.00
Myctophiformes,Myctophidae,Notoscopelus kroyeri,Lancet fish,"O, P",P,3.2,NE,N,GI,3,417,60,14.39
Myctophiformes,Myctophidae,Notoscopelus resplendens,Patchwork lampfish,"O, P",P,3,NE,Y,G,2,3,0,0.00
Myctophiformes,Myctophidae,Symbolophorus californiensis,Bigfin lanternfish,"O, P",P,3.1,NE,N,G,2,74,,yes
Myctophiformes,Myctophidae,Symbolophorus evermanni,Evermann's lanternfish,"O, P",P,3.4,NE,N,n/a,1,14,1,7.14
Myctophiformes,Myctophidae,Taaningichthys bathyphilus,Deepwater lanternfish,"O, P",P,3.1,NE,Y,G,2,3,0,0.00
Ophidiiformes,Bythidiae,Cataetyx laticeps,n/a,"O, D",BP,3.8,NE,N,"G, GI, I",1,10,1,10.00
Osmeriformes,Alepocephalidae,Alepocephalus rostratus,Risso's smooth-head,"O, D",BP,3.7,NE,N,"G, GI, I",1,158,0,0.00
Osmeriformes,Alepocephalidae,Xenodermichthys copei,Bluntsnout smooth-head,"O, P",P,3.2,NE,N,GI,3,5,3,60.00
Osmeriformes,Argentinidae,Argentina silus,Greater argentine,"O, P",P,3.3,NE,Y,GI,2,15,1,6.67
Osmeriformes,Osmeridae,Osmerus eperlanus,European smelt,"N, BP",P,3.5,LC,Y,GI,2,10,2,20.00
Perciformes,Acanthuridae,Acanthurus coeruleus,Blue tang surgeonfish,"N, B",G,2,LC,Y,G ,2,1,0,0.00
Perciformes,Acanthuridae,Acanthurus gahhm,Black surgeonfish,"N, B",O,2.8,LC,Y,GI ,3,10,1,10.00
Perciformes,Acanthuridae,Acanthurus lineatus,Lined surgeonfish,"N, B",G,2,LC,Y,GI,3,24,4,16.67
Perciformes,Acanthuridae,Acanthurus sohal,Sohal surgeonfish,"N, B",G,2,LC,Y,GI,3,3,0,0.00
Perciformes,Acanthuridae,Ctenochaetus striatus,Striated surgeonfish,"N, B",G,2,LC,Y,GI,3,27,7,25.93
Perciformes,Acanthuridae,,,,,,,,GI,3,29,6,20.69
Perciformes,Acanthuridae,Naso brachycentron,Humpback unicornfish,"N, B",G,2.7,LC,Y,GI,1,1,0,0.00
Perciformes,Acanthuridae,Naso lituratus,Orangespine unicornfish,"N, B",G,2.3,LC,Y,GI,3,28,4,14.29
Perciformes,Acanthuridae,Naso unicornis,Bluespine unicornfish,"N, B",G,2.2,LC,Y,GI,3,30,6,20.00
Perciformes,Acanthuridae,,,,,,,,GI,3,2,0,0.00
Perciformes,Ammodytidae,Ammodytes personatus,Pacific sandlance,"N, B",P,3.1,NE,Y,GI,2,734,11,1.50
Perciformes,Arripidae,Arripis sp.,Australian salmon,,,,,n/a,"G, GI",2,9,0,0.00
Perciformes,Blennidae,Scartichthys viridis,n/a,"N, B",G,2.2,LC,N,GI,3,19,19,100.00
Perciformes,Bramidae,Brama brama,Atlantic pomfret,"O, P",PP,4.1,NE,Y,G,2,3,1,33.33
Perciformes,Bramidae,,,,,,,,GI ,2,9,0,0.00
Perciformes,Callionymidae,Callionymus lyra,Dragonet,"N, D",BP,3.3,NE,Y,GI,2,50,19,38.00
